Exploding Kitten,Attack,Skip,Favor,Shuffle,See-The-Future,Draw-From-Bottom,Defuse,Taco,Watermelon,Potato,Beard,Rainbow,Last Card Played Index,Cards in Deck,Attack Winrate,Skip Winrate,Favor Winrate,Shuffle Winrate,See-The-Future Winrate,Draw-From-Bottom Winrate,Defuse Winrate,Taco Winrate,Watermelon Winrate,Potato Winrate,Beard Winrate,Rainbow Winrate,Draw Winrate
0,1,1,1,0,0,0,2,1,1,0,1,0,4,24,0,0,0,0,0,0,0.4,0,0,0,0,0,0
0,1,2,0,0,0,0,2,1,1,0,1,0,3,24,0.36363636363636365,0.25,0,0,0,0,0,0,0,0,0,0,0.5714285714285714
0,2,2,0,0,0,0,1,1,1,1,0,0,2,24,0.5833333333333334,0.7,0,0,0,0,0,0,0,0,0,0,0.3
0,2,2,0,0,0,0,1,1,1,1,0,0,1,24,0.6923076923076923,0.3076923076923077,0,0,0,0,0,0,0,0,0,0,0.2
0,2,0,0,0,0,0,1,1,1,1,0,0,2,24,0.7222222222222222,0,0,0,0,0,0,0,0,0,0,0,0.0
0,2,1,0,0,0,0,2,1,1,0,1,0,3,25,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0.2727272727272727
0,2,0,0,0,0,0,1,1,1,1,0,0,2,25,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0
0,2,0,0,0,0,0,1,1,1,1,0,0,1,25,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0.4117647058823529
0,1,2,1,0,0,0,2,1,1,0,1,0,1,24,0.3333333333333333,0.375,0.25,0,0,0,0,0,0,0,0,0,0.6363636363636364
0,1,2,0,0,0,0,2,1,1,0,1,0,3,25,0.4444444444444444,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0.42857142857142855
0,1,0,1,0,0,0,2,1,1,0,1,0,2,25,0.75,0,0.0,0,0,0,0,0,0,0,0,0,0.4444444444444444
0,1,1,0,0,0,0,1,1,1,1,0,0,1,25,0.625,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0.08333333333333333
0,1,2,1,0,0,0,2,1,1,0,1,0,2,23,0.5,0.6,0.7142857142857143,0,0,0,0,0,0,0,0,0,0.42857142857142855
0,2,0,0,0,0,0,1,1,1,1,0,0,4,24,0.625,0,0,0,0,0,0,0,0,0,0,0,0.75
0,1,2,1,0,0,0,2,1,1,0,1,0,1,24,0.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0.5
0,1,0,0,1,0,0,1,1,1,1,0,0,3,24,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1.0
0,1,0,0,1,0,0,1,1,1,1,0,0,2,25,1.0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0.6666666666666666
0,1,0,0,1,0,0,1,1,1,1,0,0,1,25,0.25,0,0,0.0,0,0,0,0,0,0,0,0,0.0
0,1,0,1,0,0,0,2,1,1,0,1,0,2,24,0.14285714285714285,0,0.8,0,0,0,0,0,0,0,0,0,0.4
0,2,0,0,0,0,0,1,1,1,1,0,0,4,25,1.0,0,0,0,0,0,0,0,0,0,0,0,0.875
0,1,0,1,0,0,0,2,1,1,0,1,0,1,25,0.20833333333333334,0,0.5,0,0,0,0,0,0,0,0,0,0.6153846153846154
0,2,1,0,1,0,0,1,1,1,1,0,0,1,24,0.6666666666666666,0.8,0,0.5555555555555556,0,0,0,0,0,0,0,0,1.0
0,2,0,0,0,0,0,1,1,1,1,0,0,4,25,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0.25
0,0,1,1,0,0,0,2,1,1,0,1,0,1,25,0,0.6666666666666666,0.5555555555555556,0,0,0,0,0,0,0,0,0,0.6428571428571429
0,1,1,0,1,0,0,1,1,1,1,0,0,1,23,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1.0
0,1,2,0,0,0,0,2,1,1,1,1,0,3,24,0.25,1.0,0,0,0,0,0,0,0,0,0,0,0.5
0,1,1,0,1,0,0,1,1,1,1,0,0,2,24,0.5,0.6666666666666666,0,0.0,0,0,0,0,0,0,0,0,0.6666666666666666
0,1,1,0,1,0,0,1,1,1,1,0,0,1,24,1.0,0.0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0.5
0,1,2,0,1,0,0,2,1,1,0,1,0,3,24,1.0,0.25,0,1.0,0,0,0,0,0,0,0,0,1.0
0,1,1,0,0,0,0,2,1,1,0,1,0,4,25,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0.3333333333333333
0,1,0,0,1,0,0,2,1,1,0,1,0,2,25,0.0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0.6666666666666666
0,1,1,0,0,0,0,1,1,1,1,0,0,1,25,0.8888888888888888,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0.1111111111111111
0,1,1,0,1,0,0,1,1,1,1,0,0,2,24,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0
0,1,0,0,0,0,0,2,1,2,0,1,0,3,25,0.4,0,0,0,0,0,0,0,0.0,0,0,0,1.0
0,1,1,0,1,0,0,1,1,1,1,0,0,1,25,1.0,0.375,0,0.0,0,0,0,0,0,0,0,0,0.2
0,1,2,0,1,0,0,1,1,1,1,0,0,1,24,1.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0
0,1,1,0,0,0,0,1,1,1,1,0,0,4,25,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.75
0,1,0,0,1,0,0,1,1,1,1,0,0,2,25,1.0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0.3333333333333333
0,0,1,1,0,0,0,2,1,1,0,1,0,1,25,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.5
