Exploding Kitten,Attack,Skip,Favor,Shuffle,See-The-Future,Draw-From-Bottom,Defuse,Taco,Watermelon,Potato,Beard,Rainbow,Last Card Played Index,Cards in Deck,Attack Winrate,Skip Winrate,Favor Winrate,Shuffle Winrate,See-The-Future Winrate,Draw-From-Bottom Winrate,Defuse Winrate,Taco Winrate,Watermelon Winrate,Potato Winrate,Beard Winrate,Rainbow Winrate,Draw Winrate
0,0,0,1,0,0,0,1,2,1,0,1,1,2,2,0,0,0.37681159420289856,0,0,0,0,0.14,0,0,0,0,0.0625
0,0,0,1,0,0,0,1,2,1,0,1,1,1,2,0,0,0.0,0,0,0,0,0.16666666666666666,0,0,0,0,0.6666666666666666
0,1,1,0,1,0,0,1,0,1,1,1,1,7,2,0.631578947368421,0.5909090909090909,0,0.6891891891891891,0,0,0,0,0,0,0,0,0.06557377049180328
0,0,0,0,0,0,0,3,0,1,0,2,1,3,2,0,0,0,0,0,0,0.9037974683544304,0,0,0,0,0,0
0,0,1,0,0,0,0,3,0,1,0,0,1,11,2,0,0.9171974522292994,0,0,0,0,0,0,0,0,0,0,0.1021377672209026
0,1,1,0,1,0,0,2,0,1,1,0,1,7,2,0.3132530120481928,0.18775510204081633,0,0.9190751445086706,0,0,0,0,0,0,0,0,0.5777777777777777
0,0,0,0,0,0,0,3,2,1,0,0,1,11,2,0,0,0,0,0,0,0.8927648578811369,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,1,1,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142
0,0,0,0,0,0,0,3,0,1,0,2,1,8,2,0,0,0,0,0,0,0.9014925373134328,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,2,0,0,1,11,2,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0.11976047904191617
0,1,1,0,0,0,0,0,0,1,1,1,1,7,2,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,2,0,1,0,2,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,1,0,0,0,0,0,2,2,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,1,1,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
